hawker centre,trade type,bid amount
BLK 409 ANG MO KIO AVENUE 10,FRESH SEAFOOD,699
BLK 527 ANG MO KIO AVENUE 10,EGGS,408
BLK 527 ANG MO KIO AVENUE 10,EGGS,122
BLK 527 ANG MO KIO AVENUE 10,MUTTON,320
BLK 538 BEDOK NORTH STREET 3,ASSORTED SPICES,70
BLK 538 BEDOK NORTH STREET 3,EGGS,8
BLK 630 BEDOK RESERVOIR ROAD,VEGETABLES,19
BLK 16 BEDOK SOUTH ROAD,PIECE & SUNDRY GOODS,1338
BLK 16 BEDOK SOUTH ROAD,PIECE & SUNDRY GOODS,1368
BLK 16 BEDOK SOUTH ROAD,EGGS,100
BEO CRESCENT MARKET,FRESH SEAFOOD,8
BEO CRESCENT MARKET,PORK,210
BLK 665 BUFFALO ROAD,VEGETABLES,102
BLK 115 BUKIT MERAH VIEW,PROCESSED RAW SEAFOOD,111
BLK 89 CIRCUIT ROAD,VEGETABLES,128
BLK 89 CIRCUIT ROAD,VEGETABLES,128
BLK 89 CIRCUIT ROAD,VEGETABLES,10
BLK 7 EMPRESS ROAD,ASSORTED SPICES,400
BLK 4A EUNOS CRESCENT,VEGETABLES,888
GOLDEN MILE FOOD CENTRE,PIECE & SUNDRY GOODS,251
GOLDEN MILE FOOD CENTRE,PRESERVED & DRIED GOODS,333
HOLLAND VILLAGE MARKET,PIECE & SUNDRY GOODS,710
HOLLAND VILLAGE MARKET,BEANCAKES & NOODLES,11
BLK 112 JALAN BUKIT MERAH,PIECE & SUNDRY GOODS,259
BLK 159 MEI CHIN ROAD,PROCESSED RAW SEAFOOD,58
BLK 79 REDHILL LANE,FRESH SEAFOOD,88
BLK 79 REDHILL LANE,FRESH SEAFOOD,88
BLK 320 SHUNFU ROAD,FRESH SEAFOOD,151
BLK 335 SMITH STREET,FRESH SEAFOOD,300
BLK 335 SMITH STREET,VEGETABLES,300
BLK 335 SMITH STREET,VEGETABLES,38
BLK 335 SMITH STREET,VEGETABLES,300
TIONG BAHRU MARKET,PIECE & SUNDRY GOODS,456
TIONG BAHRU MARKET,FRESH SEAFOOD,168
BLK 127 TOA PAYOH LORONG 1,PRESERVED & DRIED GOODS,188
BLK 127 TOA PAYOH LORONG 1,PROCESSED RAW SEAFOOD,69
BLK 93 TOA PAYOH LORONG 4,PIECE & SUNDRY GOODS,508
BLK 210 TOA PAYOH LORONG 8,VEGETABLES,160
BLK 117 ALJUNIED AVENUE 2,HALAL COOKED FOOD,250
BEO CRESCENT MARKET,COOKED FOOD,3602
BERSEH FOOD CENTRE,HALAL COOKED FOOD,750
BLK 665 BUFFALO ROAD,HALAL COOKED FOOD,1688
BLK 665 BUFFALO ROAD,HALAL COOKED FOOD,1000
BLK 115 BUKIT MERAH VIEW,COOKED FOOD,3103
BLK 115 BUKIT MERAH VIEW,HALAL COOKED FOOD,1200
BLK 79A CIRCUIT ROAD,COOKED FOOD,1500
BLK 79A CIRCUIT ROAD,COOKED FOOD,811
GOLDEN MILE FOOD CENTRE,DRINKS,3756
BLK 44 HOLLAND DRIVE,COOKED FOOD,5200
HOLLAND VILLAGE MARKET,HALAL COOKED FOOD,2800
HOLLAND VILLAGE MARKET,INDIAN CUISINE,3000
HOLLAND VILLAGE MARKET,COOKED FOOD,4500
KALLANG ESTATE MARKET,COOKED FOOD,2300
KALLANG ESTATE MARKET,COOKED FOOD,1680
MAXWELL FOOD CENTRE,COOKED FOOD,5638
MAXWELL FOOD CENTRE,INDIAN CUISINE,1299
BLK 341 ANG MO KIO AVENUE 1,PIECE & SUNDRY GOODS,508
BLK 341 ANG MO KIO AVENUE 1,FRESH SEAFOOD,404
BLK 341 ANG MO KIO AVENUE 1,PORK,132
BLK 628 ANG MO KIO AVENUE 4,PIECE & SUNDRY GOODS,888
BLK 511 BEDOK NORTH STREET 3,FLOWERS,8
BLK 511 BEDOK NORTH STREET 3,PORK,8
BLK 630 BEDOK RESERVOIR ROAD,FRESH SEAFOOD,88
BLK 221A BOON LAY PLACE,VEGETABLES,200
BLK 221A BOON LAY PLACE,PRESERVED & DRIED GOODS,525
BLK 665 BUFFALO ROAD,VEGETABLES,301
BLK 665 BUFFALO ROAD,VEGETABLES,302
BLK 665 BUFFALO ROAD,VEGETABLES,50
GOLDEN MILE FOOD CENTRE,PIECE & SUNDRY GOODS,188
BLK 44 HOLLAND DRIVE,PIECE & SUNDRY GOODS,1388
HOLLAND VILLAGE MARKET,PRESERVED & DRIED GOODS,600
BLK 4A JALAN BATU,PIECE & SUNDRY GOODS,380
BLK 84 MARINE PARADE CENTRAL,POULTRY,820
BLK 320 SHUNFU ROAD,FRESH SEAFOOD,10
BLK 335 SMITH STREET,FRESH SEAFOOD,600
BLK 335 SMITH STREET,FRESH SEAFOOD,899
BLK 335 SMITH STREET,BEANCAKES & NOODLES,200
BLK 335 SMITH STREET,PIECE & SUNDRY GOODS,1113
BLK 335 SMITH STREET,PIECE & SUNDRY GOODS,1369
BLK 335 SMITH STREET,PIECE & SUNDRY GOODS,438
BLK 335 SMITH STREET,PIECE & SUNDRY GOODS,888
TANGLIN HALT MARKET,WHOLE FRUITS,138
TANGLIN HALT MARKET,WHOLE FRUITS,20
TANGLIN HALT MARKET,WHOLE FRUITS,38
BLK 6 TANJONG PAGAR PLAZA,ASSORTED SPICES,18
TIONG BAHRU MARKET,PORK,608
TIONG BAHRU MARKET,FROZEN GOODS,188
BLK 127 TOA PAYOH LORONG 1,PIECE & SUNDRY GOODS,501
BLK 127 TOA PAYOH LORONG 1,PRESERVED & DRIED GOODS,412
BLK 127 TOA PAYOH LORONG 1,FRESH SEAFOOD,30
BLK 74 TOA PAYOH LORONG 4,VEGETABLES,900
BLK 22 TOA PAYOH LORONG 7,FRESH SEAFOOD,2
BLK 117 ALJUNIED AVENUE 2,INDIAN CUISINE,701
AMOY STREET FOOD CENTRE,DRINKS,4111
BLK 16 BEDOK SOUTH ROAD,COOKED FOOD,5310
BERSEH FOOD CENTRE,HALAL COOKED FOOD,18
BERSEH FOOD CENTRE,HALAL COOKED FOOD,108
BERSEH FOOD CENTRE,COOKED FOOD,1580
BLK 665 BUFFALO ROAD,COOKED FOOD,2668
CHOMP CHOMP FOOD CENTRE,HALAL COOKED FOOD,500
CHOMP CHOMP FOOD CENTRE,INDIAN CUISINE,300
CHOMP CHOMP FOOD CENTRE,COOKED FOOD,2610
BLK 79A CIRCUIT ROAD,COOKED FOOD,3500
BLK 80 CIRCUIT ROAD,COOKED FOOD,909
GOLDEN MILE FOOD CENTRE,HALAL COOKED FOOD,718
GOLDEN MILE FOOD CENTRE,DRINKS,5999
MAXWELL FOOD CENTRE,COOKED FOOD,6300
MAXWELL FOOD CENTRE,INDIAN CUISINE,2020
NEWTON FOOD CENTRE,COOKED FOOD,3088
NEWTON FOOD CENTRE,COOKED FOOD,3210
BLK 335 SMITH STREET,HALAL COOKED FOOD,88
BLK 335 SMITH STREET,COOKED FOOD,1295
BLK 335 SMITH STREET,INDIAN CUISINE,36
BLK 335 SMITH STREET,COOKED FOOD,888
TAMAN JURONG MARKET & FOOD CENTRE,COOKED FOOD,666
BLK 6 TANJONG PAGAR PLAZA,HALAL COOKED FOOD,688
BLK 79 TELOK BLANGAH DRIVE,COOKED FOOD,2600
BLK 93 TOA PAYOH LORONG 4,INDIAN CUISINE,237
BLK 531A UPPER CROSS STREET,COOKED FOOD,2888
BLK 503 WEST COAST DRIVE,INDIAN CUISINE,3196
BLK 665 BUFFALO ROAD,HALAL COOKED FOOD,1651
BLK 2 CHANGI VILLAGE ROAD,INDIAN CUISINE,3050
BLK 2 CHANGI VILLAGE ROAD,COOKED FOOD,4588
CHOMP CHOMP FOOD CENTRE,INDIAN CUISINE,130
CHOMP CHOMP FOOD CENTRE,COOKED FOOD,2689
CHOMP CHOMP FOOD CENTRE,COOKED FOOD,3401
BLK 105 HOUGANG AVENUE 1,INDIAN CUISINE,1788
MAXWELL FOOD CENTRE,COOKED FOOD,6500
PASIR PANJANG FOOD CENTRE,INDIAN CUISINE,888
BLK 85 REDHILL LANE,DRINKS,5008
BLK 335 SMITH STREET,COOKED FOOD,2222
BLK 335 SMITH STREET,COOKED FOOD,1000
BLK 335 SMITH STREET,HALAL COOKED FOOD,80
TAMAN JURONG MARKET & FOOD CENTRE,COOKED FOOD,2589
BLK 36 TELOK BLANGAH RISE,INDIAN CUISINE,361
BLK 93 TOA PAYOH LORONG 4,INDIAN CUISINE,60
BLK 531A UPPER CROSS STREET,COOKED FOOD,2600
